iter	Passed	Remaining
0	61	60987
1	61	30682
2	61	20586
3	62	15542
4	62	12516
5	63	10489
6	63	9062
7	64	7994
8	64	7156
9	65	6471
10	65	5902
11	66	5435
12	66	5044
13	66	4713
14	67	4422
15	67	4165
16	68	3935
17	69	3780
18	69	3601
19	70	3440
20	70	3287
21	70	3151
22	71	3024
23	71	2905
24	71	2801
25	72	2705
26	72	2621
27	73	2538
28	73	2464
29	73	2387
30	74	2316
31	74	2260
32	75	2208
33	75	2154
34	76	2117
35	77	2065
36	77	2017
37	77	1970
38	78	1925
39	78	1887
40	78	1847
41	79	1809
42	79	1778
43	80	1747
44	80	1716
45	81	1685
46	81	1653
47	81	1625
48	82	1597
49	82	1575
50	83	1552
51	83	1525
52	84	1504
53	84	1480
54	84	1457
55	85	1435
56	85	1413
57	85	1393
58	86	1373
59	86	1353
60	86	1336
61	87	1319
62	88	1314
63	88	1297
64	89	1284
65	89	1269
66	90	1260
67	90	1244
68	91	1233
69	91	1219
70	92	1207
71	92	1198
72	93	1186
73	94	1176
74	94	1169
75	95	1158
76	95	1148
77	96	1137
78	96	1126
79	96	1115
80	97	1103
81	97	1093
82	98	1082
83	98	1073
84	98	1062
85	99	1052
86	99	1041
87	99	1032
88	99	1022
89	100	1014
90	100	1005
91	101	997
92	101	988
93	101	980
94	102	973
95	102	969
96	103	964
97	103	956
98	104	948
99	104	942
100	105	935
101	105	927
102	105	920
103	106	915
104	106	909
105	107	903
106	107	897
107	107	890
108	108	884
109	108	877
110	108	871
111	109	866
112	109	861
113	110	855
114	110	850
115	110	844
116	111	838
117	111	833
118	112	830
119	113	831
120	113	827
121	114	822
122	114	815
123	114	809
124	115	805
125	115	803
126	117	805
127	117	800
128	117	795
129	118	789
130	118	784
131	118	779
132	118	775
133	119	770
134	119	766
135	120	764
136	120	760
137	120	755
138	121	751
139	121	748
140	122	744
141	122	742
142	123	737
143	123	733
144	123	731
145	124	728
146	125	725
147	125	723
148	126	720
149	126	716
150	126	712
151	127	708
152	127	706
153	127	703
154	128	699
155	128	697
156	129	693
157	129	691
158	129	687
159	130	685
160	130	682
161	131	679
162	131	676
163	132	674
164	132	671
165	133	669
166	133	666
167	134	664
168	134	662
169	135	660
170	135	657
171	136	655
172	136	652
173	137	650
174	137	647
175	137	645
176	138	642
177	138	639
178	138	637
179	139	634
180	139	630
181	139	628
182	140	625
183	140	624
184	141	622
185	141	620
186	142	617
187	142	616
188	143	613
189	143	611
190	143	608
191	144	606
192	144	603
193	144	601
194	144	598
195	145	596
196	145	594
197	146	592
198	146	589
199	147	588
200	147	585
201	147	583
202	147	580
203	148	579
204	148	577
205	149	575
206	149	573
207	150	571
208	150	569
209	150	567
210	151	565
211	151	563
212	151	561
213	152	559
214	153	559
215	153	556
216	154	559
217	155	557
218	155	555
219	156	553
220	156	552
221	157	550
222	157	548
223	157	546
224	158	545
225	158	543
226	159	541
227	159	539
228	159	537
229	160	535
230	160	534
231	160	532
232	161	531
233	161	529
234	161	527
235	162	526
236	162	524
237	163	522
238	163	520
239	164	519
240	164	517
241	164	516
242	165	514
243	165	513
244	166	511
245	166	510
246	166	509
247	167	507
248	167	506
249	168	505
250	168	503
251	169	502
252	169	500
253	170	499
254	170	497
255	170	496
256	171	494
257	171	493
258	172	492
259	172	490
260	172	489
261	173	487
262	173	486
263	174	485
264	174	484
265	175	483
266	175	482
267	176	480
268	176	479
269	176	478
270	177	476
271	177	475
272	177	473
273	178	472
274	178	471
275	179	470
276	179	468
277	179	467
278	180	466
279	180	464
280	181	463
281	181	462
282	182	461
283	182	460
284	182	459
285	183	457
286	183	456
287	184	456
288	185	455
289	185	453
290	185	452
291	185	450
292	186	449
293	186	448
294	187	447
295	187	445
296	187	444
297	188	443
298	188	442
299	189	441
300	189	440
301	189	439
302	190	437
303	190	436
304	191	435
305	191	434
306	192	433
307	192	432
308	192	431
309	193	430
310	193	429
311	194	427
312	194	426
313	194	425
314	195	424
315	195	423
316	196	422
317	196	421
318	196	420
319	197	419
320	198	420
321	199	419
322	199	418
323	199	417
324	200	415
325	200	414
326	200	413
327	201	412
328	201	411
329	201	409
330	202	408
331	202	407
332	202	406
333	203	405
334	203	404
335	204	403
336	204	402
337	205	401
338	205	400
